,Latitude,Longitude,temperature
785,50.50063,4.8058,3.01
786,50.49963,5.121439,3
787,50.50129,4.87578,3.01
788,50.50295,3.775873,2.41
789,50.50204,3.56912,2
790,50.50353,3.700627,2
791,50.50539,3.886671,2.5
792,50.50475,3.526918,2
793,50.50835,4.65531,2.86
794,50.51024,4.01156,2.5
795,50.50425,5.635899,3.01
796,50.51587,4.261971,2.61
797,50.51408,3.664203,2
798,50.51925,4.19358,2.61
799,50.52443,3.635034,2
800,50.53103,3.90067,2.5
801,50.52697,5.582961,3.18
802,50.52909,5.46273,3
803,50.64173,3.778953,2.51
804,50.6367,5.693519,3.15
805,50.64433,4.22739,2.84
806,50.64056,3.298871,2
807,50.63665,5.801291,3.45
808,50.64795,4.177495,2.84
809,50.65351,4.181185,2.84
810,50.65523,4.606148,3
811,50.661,3.860313,2.6
812,50.65154,5.958533,3.36
813,50.66503,4.350445,3
814,50.66545,4.138814,2.84
815,50.53754,4.685625,2.86
816,50.53685,5.314494,3
817,50.53592,5.555401,3.15
818,50.53505,5.707986,3.22
819,50.54543,4.926792,3
820,50.54702,4.53914,2.86
821,50.56854,4.265224,2.6
822,50.57,4.254747,2.6
823,50.57286,4.006359,2.5
824,50.5691,5.381895,2.89
825,50.56566,5.762297,3.45
826,50.5687,5.649396,3.15
827,50.57994,4.760123,2.86
828,50.69802,3.27931,2
829,50.69397,2.906184,2
830,50.70356,4.64716,3
831,50.69825,5.702343,3.39
832,50.70254,5.340639,3.11
833,50.7056,5.259871,3
834,50.71122,4.416317,3
835,50.71502,5.301301,3.11
836,50.71925,4.993507,3.11
837,50.71614,5.444546,3.58
838,50.57275,5.829183,3.44
839,50.58676,4.52956,3.01
840,50.58161,5.656207,3.15
841,50.58188,5.638647,3.15
842,50.58987,4.050107,2.5
843,50.58921,3.782288,2.51
844,50.59576,4.063721,2.5
845,50.59058,5.589591,3.15
846,50.59385,3.467545,2
847,50.59546,3.410184,2
848,50.59109,5.784624,3.45
849,50.60027,4.293245,2.84
850,50.60318,4.908536,3
851,50.60169,3.452639,2
852,50.60431,3.63726,2.51
853,50.60865,4.466824,3
854,50.60487,5.692033,3.15
855,50.60534,5.725727,3.39
856,50.61174,3.415386,2
857,50.61594,4.114466,2.84
858,50.61855,3.798596,2.61
859,50.61669,3.422799,2
860,50.61426,5.606098,3.15
861,50.61642,5.543725,3.15
862,50.62385,4.550929,3
863,50.61423,5.992946,3.44
864,50.63174,4.631239,3
865,50.63195,4.204441,2.84
866,50.63137,4.82775,3.15
867,50.63218,3.364289,2
868,50.63663,4.540581,3
869,50.63594,3.395911,2
870,50.67114,4.165069,2.84
871,50.67073,3.613102,2.51
872,50.67381,4.221304,2.84
873,50.67449,4.278504,3.01
874,50.67691,4.2422,3.01
875,50.6789,4.340665,3
876,50.67651,5.443656,3.14
877,50.67831,3.320425,2
878,50.68577,5.001207,3.11
879,50.68337,5.471808,3.14
880,50.69554,4.207886,3
881,50.69532,4.013541,2.83
882,50.69404,5.066369,3
883,50.68589,5.998932,3.35
884,50.69505,5.367672,3.11
885,50.6939,5.536155,3.14
886,50.72938,4.635387,3
887,50.72737,5.491138,3.14
888,50.72699,5.548201,3.14
889,50.72966,5.38083,3.58
890,50.73233,5.532297,3.14
891,50.73667,5.388317,3.58
892,50.74455,4.558113,3
893,50.74662,3.255818,2
894,50.74637,5.689905,3.39
895,50.74581,5.960434,3.44
896,50.76132,4.649535,3
897,50.76385,4.888761,3.11
898,50.76478,4.996546,3.11
899,50.76489,5.683223,3.39
900,50.71188,5.837655,3.44
901,50.71655,3.330713,2
902,50.72404,3.837182,2.84
903,50.72176,5.668946,3.14
904,50.72177,5.719307,3.39
905,50.77226,5.635941,3.14
906,50.78197,4.701198,3
907,50.69292,6.138894,3.43
908,50.71046,3.208457,2
909,50.7248,4.321926,3
910,50.77349,3.014262,2
911,49.83996,5.741248,3
912,49.55525,5.785699,3
913,50.63466,5.569396,3.29
914,50.42279,4.443378,2.61
